anomaly_type,affected_records_pct,data_source,pipeline_stage,historical_frequency,time_sensitivity,data_domain,severity_score_raw,severity_score,label
outlier,75.18,api_feed,loading,occasional,medium,finance,0.6124,0.4686,escalate
duplicates,51.86,iot_stream,validation,occasional,medium,finance,0.4752,0.5285,escalate
referential_integrity,43.57,manual_entry,transformation,occasional,medium,operations,0.5763,0.6128,critical
schema_mismatch,20.22,crm,transformation,first_occurrence,critical,hr,0.6222,0.8103,critical
null_values,31.16,api_feed,ingestion,first_occurrence,low,operations,0.3662,0.4219,auto_resolve
data_corruption,37.46,crm,ingestion,frequent,critical,product,0.6249,0.5839,escalate
outlier,26.6,erp,ingestion,frequent,medium,product,0.3688,0.3393,auto_resolve
outlier,4.68,manual_entry,ingestion,rare,critical,marketing,0.5053,0.7076,critical
null_values,12.45,erp,ingestion,first_occurrence,low,finance,0.3203,0.2848,auto_resolve
duplicates,40.9,iot_stream,validation,rare,medium,hr,0.4505,0.5091,escalate
duplicates,18.7,api_feed,validation,frequent,high,marketing,0.3888,0.3649,auto_resolve
referential_integrity,12.77,manual_entry,ingestion,frequent,high,compliance,0.551,0.6591,critical
schema_mismatch,20.12,iot_stream,validation,occasional,low,product,0.3783,0.4914,escalate
outlier,2.78,manual_entry,ingestion,occasional,medium,operations,0.3651,0.3629,auto_resolve
duplicates,31.61,iot_stream,transformation,frequent,low,operations,0.3344,0.2938,auto_resolve
null_values,24.84,iot_stream,serving,occasional,low,product,0.3911,0.348,auto_resolve
schema_mismatch,4.24,api_feed,transformation,occasional,high,product,0.4704,0.2977,auto_resolve
null_values,11.76,erp,ingestion,occasional,critical,operations,0.4558,0.4659,auto_resolve
outlier,4.26,erp,transformation,chronic,medium,compliance,0.3607,0.3687,auto_resolve
schema_mismatch,29.71,iot_stream,validation,occasional,low,operations,0.4117,0.3301,auto_resolve
outlier,14.34,crm,ingestion,occasional,low,finance,0.291,0.1075,auto_resolve
duplicates,8.19,data_warehouse,serving,frequent,medium,operations,0.3415,0.3622,auto_resolve
data_corruption,53.27,erp,transformation,rare,low,product,0.5488,0.5821,escalate
referential_integrity,33.88,manual_entry,ingestion,occasional,high,compliance,0.625,0.6645,critical
outlier,19.82,erp,transformation,occasional,low,finance,0.3533,0.2543,auto_resolve
null_values,21.59,data_warehouse,validation,chronic,low,operations,0.2574,0.297,auto_resolve
duplicates,19.11,crm,transformation,rare,high,operations,0.4321,0.4142,auto_resolve
null_values,22.07,erp,serving,occasional,low,product,0.362,0.4484,auto_resolve
null_values,12.06,iot_stream,serving,chronic,medium,hr,0.4146,0.3171,auto_resolve
schema_mismatch,54.32,erp,ingestion,frequent,medium,marketing,0.4778,0.5929,escalate
outlier,29.36,erp,ingestion,occasional,low,product,0.3223,0.4733,escalate
data_corruption,15.3,iot_stream,transformation,rare,medium,hr,0.5524,0.564,escalate
duplicates,21.67,iot_stream,validation,rare,medium,product,0.3825,0.4229,auto_resolve
duplicates,17.12,crm,validation,occasional,medium,product,0.3162,0.3946,auto_resolve
duplicates,8.41,api_feed,ingestion,rare,low,finance,0.2738,0.1712,auto_resolve
null_values,42.05,erp,serving,frequent,medium,compliance,0.5134,0.4648,auto_resolve
null_values,1.6,erp,transformation,frequent,medium,operations,0.3179,0.3363,auto_resolve
duplicates,8.39,api_feed,loading,frequent,low,compliance,0.2962,0.4988,escalate
null_values,42.11,crm,loading,rare,low,finance,0.4237,0.3041,auto_resolve
schema_mismatch,43.14,api_feed,ingestion,occasional,low,product,0.4135,0.5773,escalate
duplicates,16.24,erp,ingestion,frequent,low,marketing,0.2285,0.2092,auto_resolve
outlier,8.89,iot_stream,ingestion,rare,low,finance,0.3332,0.3297,auto_resolve
outlier,8.59,api_feed,serving,rare,critical,compliance,0.6271,0.7489,critical
duplicates,19.69,erp,transformation,occasional,medium,marketing,0.3437,0.5458,escalate
outlier,5.9,data_warehouse,loading,rare,medium,finance,0.3999,0.4422,auto_resolve
outlier,25.59,iot_stream,transformation,first_occurrence,low,product,0.4093,0.5258,escalate
duplicates,29.12,erp,transformation,occasional,low,operations,0.3166,0.2245,auto_resolve
null_values,18.82,data_warehouse,serving,frequent,high,operations,0.4588,0.4058,auto_resolve
schema_mismatch,25.05,erp,transformation,first_occurrence,high,compliance,0.6108,0.4756,escalate
null_values,32.41,erp,validation,occasional,critical,operations,0.5291,0.4776,escalate
null_values,18.91,erp,transformation,occasional,low,finance,0.3274,0.384,auto_resolve
null_values,20.91,crm,ingestion,occasional,low,hr,0.2769,0.2982,auto_resolve
outlier,61.75,manual_entry,ingestion,occasional,high,hr,0.6041,0.7768,critical
schema_mismatch,26.76,api_feed,ingestion,first_occurrence,medium,finance,0.5126,0.7181,critical
outlier,32.75,iot_stream,validation,first_occurrence,low,operations,0.4201,0.4064,auto_resolve
outlier,24.41,erp,transformation,occasional,medium,marketing,0.3986,0.3306,auto_resolve
duplicates,21.44,crm,transformation,chronic,low,finance,0.2768,0.3928,auto_resolve
schema_mismatch,22.85,erp,ingestion,occasional,high,marketing,0.4687,0.5951,escalate
null_values,31.32,crm,validation,occasional,high,compliance,0.4818,0.5259,escalate
null_values,4.48,data_warehouse,loading,chronic,medium,marketing,0.2981,0.3686,auto_resolve
schema_mismatch,40.16,manual_entry,validation,frequent,medium,marketing,0.4986,0.5535,escalate
duplicates,19.82,manual_entry,serving,frequent,high,compliance,0.5423,0.4434,auto_resolve
schema_mismatch,2.94,manual_entry,ingestion,occasional,medium,marketing,0.3947,0.2728,auto_resolve
outlier,6.44,erp,ingestion,frequent,high,compliance,0.4143,0.4092,auto_resolve
schema_mismatch,6.82,crm,transformation,occasional,medium,product,0.391,0.3709,auto_resolve
schema_mismatch,3.92,api_feed,ingestion,frequent,critical,operations,0.5003,0.528,escalate
schema_mismatch,20.04,iot_stream,validation,frequent,low,marketing,0.3605,0.3474,auto_resolve
duplicates,28.13,erp,loading,occasional,medium,finance,0.418,0.2477,auto_resolve
null_values,13.39,crm,ingestion,chronic,high,finance,0.381,0.1698,auto_resolve
duplicates,12.85,manual_entry,serving,chronic,high,marketing,0.4581,0.5318,escalate
null_values,6.09,erp,ingestion,occasional,critical,operations,0.4402,0.374,auto_resolve
duplicates,29.59,api_feed,validation,rare,medium,marketing,0.3858,0.3626,auto_resolve
referential_integrity,42.46,crm,transformation,frequent,medium,product,0.498,0.4422,auto_resolve
null_values,12.32,api_feed,validation,occasional,low,marketing,0.2764,0.1851,auto_resolve
null_values,10.34,erp,ingestion,occasional,medium,operations,0.3199,0.2259,auto_resolve
null_values,35.06,iot_stream,serving,first_occurrence,low,finance,0.4961,0.5981,escalate
